algorithm,compression_ratio,budget,runtime_seconds,memory_mb,hausdorff_distance,average_pte,frechet_distance,ped,dad,sed,sad,issd,original_points,simplified_points,trajectory_id,trajectory_size,turn_preservation,stop_preservation,original_turns,preserved_turns,preservation_ratio,original_stops,preserved_stops
original,1.0,444,0.0022118091583251953,0.0071868896484375,0.0,0.0,0.0,0.0,76.17814354960859,710.2250645345731,1.912163687503841,34584699.711876765,888,888,0,888,,,,,,,
original,1.0,177,0.0012843608856201172,0.005700111389160156,0.0,0.0,0.0,0.0,76.17814354960859,710.2250645345731,1.912163687503841,34584699.711876765,888,888,0,888,,,,,,,
original,1.0,88,0.0009210109710693359,0.005700111389160156,0.0,0.0,0.0,0.0,76.17814354960859,710.2250645345731,1.912163687503841,34584699.711876765,888,888,0,888,,,,,,,
dp,32.888888888888886,444,12.368890285491943,0.04294013977050781,976.5090817226413,147.10948971396928,1635.028672344024,147.11185787015975,69.19950456046183,469.4341110173179,1.7101480801439746,8291110.996456979,888,27,0,888,,,,,,,
dp,5.074285714285714,177,10.71304202079773,0.043994903564453125,111.7114687145887,1.888878061525556,111.7114687145887,1.8889196459179547,86.2499110643858,721.2243058843103,1.8108589460581241,35726092.12849082,888,175,0,888,,,,,,,
dp,10.206896551724139,88,3.8949997425079346,0.025979995727539062,309.9270792926337,2.7553080945223427,394.79496043974154,2.7553080945223427,65.79317001388735,674.2679030779697,1.842233225116777,34462179.30172293,888,87,0,888,,,,,,,
squish,2.0,444,6.48282527923584,0.083160400390625,34.27185740441235,0.36516522524185924,34.27185740441235,0.36516522524185924,85.86253620026478,714.3788554728695,1.84934386036267,36350333.81010158,888,444,0,888,,,,,,,
squish,5.016949152542373,177,7.738625526428223,0.083160400390625,98.1820586980644,1.5966102540586233,98.1820586980644,1.5966102540586233,89.49317530658632,716.5405274266006,1.8347650678397294,35984447.543890074,888,177,0,888,,,,,,,
squish,10.090909090909092,88,7.575730323791504,0.083160400390625,141.36587350899993,4.798308607822016,184.69793801863884,4.798308607822016,85.66089187619009,717.6733306551192,1.8548484693760952,37078263.54529834,888,88,0,888,,,,,,,
vw,2.0,444,4.429427146911621,0.027622222900390625,34.27185740441235,0.36516522524185924,34.27185740441235,0.36516522524185924,85.86253620026478,714.3788554728695,1.84934386036267,36350333.81010158,888,444,0,888,,,,,,,
vw,5.016949152542373,177,6.235188961029053,0.027622222900390625,98.1820586980644,1.5966102540586233,98.1820586980644,1.5966102540586233,89.49317530658632,716.5405274266006,1.8347650678397294,35984447.543890074,888,177,0,888,,,,,,,
vw,10.090909090909092,88,5.654950380325317,0.027622222900390625,141.36587350899993,4.798308607822016,184.69793801863884,4.798308607822016,85.66089187619009,717.6733306551192,1.8548484693760952,37078263.54529834,888,88,0,888,,,,,,,
sw,2.036697247706422,444,24.994681119918823,0.0615234375,60.376091172441605,0.3173679264418335,60.376091172441605,0.3173679264418335,82.72369543665607,728.5415587075388,1.8272521950549903,34744402.88343352,888,436,0,888,,,,,,,
