algorithm,compression_ratio,hausdorff_distance_mean,hausdorff_distance_std,average_pte_mean,average_pte_std,frechet_distance_mean,frechet_distance_std,ped_mean,ped_std,dad_mean,dad_std,sed_mean,sed_std,sad_mean,sad_std,issd_mean,issd_std,turn_preservation_mean,turn_preservation_std,stop_preservation_mean,stop_preservation_std,runtime_seconds_mean,runtime_seconds_std,memory_mb_mean,memory_mb_std
dp,5.003484320557491,127.95226176714507,,0.9446865612122209,,127.95226176714507,,0.9446865612122209,,82.9842028458929,,376.6655275287633,,0.7034158632191504,,13018780.757803038,,,,,,6.325944185256958,,0.06534576416015625,
dp,5.033333333333333,103.43944056609408,,1.2821422519309136,,115.50540773794685,,1.2821422519309136,,70.03502277780628,,67.81545930433002,,1.793792623791083,,123993.13936491912,,,,,,0.22257494926452637,,0.017995834350585938,
dp,5.074285714285714,111.7114687145887,,1.888878061525556,,111.7114687145887,,1.8889196459179547,,86.2499110643858,,721.2243058843103,,1.8108589460581241,,35726092.12849082,,,,,,10.71304202079773,,0.043994903564453125,
dp,5.225,244.026163203135,,4.223275515679585,,244.026163203135,,4.223275515679585,,95.91858626757167,,27.342074719667423,,0.5211626615432444,,96541.56380812329,,,,,,0.6532785892486572,,0.020400047302246094,
dp,6.196078431372549,101.68943237443321,,1.280942532731158,,101.68943237443321,,1.280942532731158,,48.73363504847135,,524.2757711459274,,0.7327482996108837,,4131304.130753084,,,,,,1.5441040992736816,,0.02810382843017578,
dp,8.038461538461538,248.09690320866417,,6.712490596214211,,248.09690320866417,,6.716048539825125,,73.89216323843534,,13.621903707690736,,0.48236831982052486,,61019.25513416171,,,,,,1.9107646942138672,,0.026719093322753906,
dp,10.112676056338028,113.18258460205779,,1.4495461284996016,,155.33090191905606,,1.4495645813325468,,92.68823081170473,,422.2535412126762,,0.7284745980517293,,13043565.281245211,,,,,,5.190778493881226,,0.033570289611816406,
dp,10.206896551724139,309.9270792926337,,2.7553080945223427,,394.79496043974154,,2.7553080945223427,,65.79317001388735,,674.2679030779697,,1.842233225116777,,34462179.30172293,,,,,,3.8949997425079346,,0.025979995727539062,
dp,10.533333333333333,101.68943237443321,,2.0379591255773564,,101.68943237443321,,2.0379591255773564,,44.05082984203673,,444.16522750114564,,0.7406916006459225,,3672190.546620275,,,,,,2.1923673152923584,,0.02536296844482422,
dp,11.0,84.67461783984295,,1.5649275529286677,,84.67461783984295,,1.5649275529286677,,102.97860772658635,,30.295435391818792,,0.4751242574409527,,89321.19298869495,,,,,,0.4833245277404785,,0.0176544189453125,
dp,16.77777777777778,221.11661750048708,,3.7231869812778733,,221.11661750048708,,3.7231869812778733,,67.3983856804284,,185.72245983649682,,3.099558569463303,,185674.19811101415,,,,,,0.1371140480041504,,0.015237808227539062,
dp,17.51219512195122,463.9604102867123,,22.584668027322174,,666.737648463161,,22.58467543867928,,88.9482417113594,,475.91654421644,,0.9048419505009285,,14447765.846754769,,,,,,11.25885558128357,,0.0716085433959961,
dp,18.875,306.15918955175067,,4.728206273792268,,306.15918955175067,,4.728215210480127,,71.32855301401953,,429.1609087176205,,3.2236528926701182,,485707.8820115635,,,,,,0.7315969467163086,,0.02410888671875,
dp,32.888888888888886,976.5090817226413,,147.10948971396928,,1635.028672344024,,147.11185787015975,,69.19950456046183,,469.4341110173179,,1.7101480801439746,,8291110.996456979,,,,,,12.368890285491943,,0.04294013977050781,
dp,48.61538461538461,2807.486568759966,,75.0126271644053,,3095.9462177508776,,75.0126271644053,,56.62980963417494,,593.3735417476319,,0.9180269814310321,,4211580.95681276,,,,,,4.2629687786102295,,0.025948524475097656,
original,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.11044692212121,12.938346701825264,357.55587292028514,271.00272918899145,1.4001121783317234,1.0700843900106345,10457853.407645185,13447111.906354172,,,,,0.0009910265604654949,0.0005350199101011855,0.005885187784830729,0.00039529417771157107
proposed,2.0,260.2893936425239,148.2623905188492,2.3234925380791007,0.6997571509066434,260.7305903103656,148.70383779399856,2.3234925380791007,0.6997571509066434,9.997638314645812,1.9154456253306822,3.592803592180648,1.2169161464705924,0.18738504137072318,0.041980053824261745,21314.366324856357,13114.2937179061,0.9382700738505606,0.04549308091498692,1.0,0.0,0.6555752754211426,0.2749687608016638,0.15792338053385416,0.061933746382795286
proposed,2.0096153846153846,58.14289891010969,,7.035014735825325,,72.5992747406627,,7.035014735825325,,39.86959635069764,,20.09492275613426,,0.30277810260955823,,22510.922012691404,,0.6637168141592921,,0.5,,0.19933152198791504,,0.03798961639404297,
proposed,2.013333333333333,88.95819957380326,,1.574535609830567,,97.83812281595294,,1.574535609830567,,23.420353977252876,,21.095284883398005,,1.0405124443976532,,22933.915474209774,,0.8307692307692308,,1.0,,0.09102296829223633,,0.029410362243652344,
proposed,5.003484320557491,981.8871858715469,,61.96390607392529,,1098.150814744257,,61.96390607392529,,49.65388003833494,,196.82326461297157,,0.5166873153528613,,3158991.207705333,,0.444636678200692,,0.37037037037037035,,1.0453195571899414,,0.2227621078491211,
proposed,5.015873015873016,362.30651519117544,,7.680105639722075,,362.30651519117544,,7.680105639722075,,18.21842816544145,,11.764361597453329,,0.33218072657450737,,126991.26567055084,,0.5545023696682464,,1.0,,0.36635375022888184,,0.09943008422851562,
proposed,5.016949152542373,553.4553809707684,,18.283007093823883,,553.9417734638419,,18.283007093823883,,29.890716495852498,,34.238512804887215,,0.6452624001056942,,555632.1114262133,,0.7794117647058824,,0.9,,1.0141444206237793,,0.1449136734008789,
proposed,5.033333333333333,272.2705230196481,,11.59824713418293,,272.2705230196481,,11.59824713418293,,48.831194427518554,,159.1391952719486,,1.9935476007972923,,135169.76628128364,,0.4461538461538462,,0.5,,0.09821653366088867,,0.02962493896484375,
proposed,5.097560975609756,58.14289891010969,,7.319126618972771,,72.5992747406627,,7.319126618972771,,58.57191418340566,,20.46081102449753,,0.3604863149259879,,22788.02843370875,,0.6902654867256637,,0.5,,0.21158266067504883,,0.03980255126953125,
proposed,10.031746031746032,617.1707594930465,,40.3852548788645,,617.1707594930465,,40.3852548788645,,29.13585193537505,,84.44377019248249,,0.6155811546920635,,665574.0665573197,,0.4312796208530806,,0.75,,0.3738436698913574,,0.09943008422851562,
proposed,10.041958041958042,988.4826728241228,,89.06929602714563,,991.1609390173962,,89.06929602714563,,62.105632124131866,,317.89687937158266,,0.7824160946269094,,9990351.703565018,,0.2681660899653979,,0.18518518518518517,,0.894963264465332,,0.22289085388183594,
proposed,10.066666666666666,293.60859687028176,,11.544022533413168,,293.60859687028176,,11.544022533413168,,52.55282980303998,,158.42054921330805,,2.0333999419849627,,135796.12005255852,,0.6307692307692307,,0.75,,0.09974217414855957,,0.03049182891845703,
proposed,10.090909090909092,764.1713292752423,,39.299685378671114,,1131.3805836395684,,39.299685378671114,,41.095718704842334,,58.183319845876426,,0.8073285866788585,,984347.591656308,,0.7169117647058824,,0.6,,1.1019597053527832,,0.14319610595703125,
proposed,10.45,58.14289891010969,,9.579033050319287,,62.47223230879505,,9.579033050319287,,72.88834085071174,,22.61655899587926,,0.399156205275366,,24680.449073829455,,0.504424778761062,,0.6666666666666666,,0.2087240219116211,,0.03803253173828125,
rw,2.0,56.45838756949007,58.724326771074445,1.260222272037766,0.7424884857459774,56.45838756949007,58.724326771074445,1.260222272037766,0.7424884857459774,72.03111091061807,28.802715699789694,633.1654374122646,96.06828872698703,2.0756693780022,0.3459610672019479,21691191.830951624,21039729.021461196,,,,,0.538537859916687,0.33861132127179755,0.07551050186157227,0.007258024488364039
rw,2.0096153846153846,5.46215352956426,,0.5506043865778353,,5.46215352956426,,0.5506043865778353,,90.44428578067537,,22.543204981782285,,0.4425804046555646,,80013.85816280823,,,,,,0.17947793006896973,,0.018896102905273438,
rw,2.013333333333333,9.40528986811515,,1.135210370354561,,21.05725523193577,,1.135210370354561,,54.934399361644694,,57.88021401493113,,1.554674645727818,,103049.15821782956,,,,,,0.0939033031463623,,0.01732921600341797,
